SubjectID	SessionID	BlockID	success_index	personal_effect_size	common_language_effect_size	mean_efp_neurofeedback	mean_efp_baseline	mean_vol_neurofeedback
EFP02	8	2	0.070999	0.108500118281758	0.399166666666667	0.0496259583333333	0.01744455	0.490315
EFP02	8	3	0.16746	-0.0175269443830063	0.435	0.023729435	0.02867615	0.476937666666667
EFP02	8	4	0.883335	0.689280140819401	0.271666666666667	0.0378791983333333	-0.13480405	0.358218166666667
EFP02	8	5	-0.800498	-0.889445437503534	0.715833333333333	0.239349254237288	0.54592395	0.624094166666667
EFP02	9	1	0.703596	0.629613438063684	0.36	-0.09207804	-0.1965091	0.377256666666667
EFP02	9	2	-0.250604	-0.32470410680456	0.6325	0.0909127176666667	0.19304233	0.56969
EFP02	9	3	-0.355282	-0.333757744806521	0.555	0.17322475	0.26668964	0.552706
EFP02	9	4	-0.598192	-0.616270815555023	0.651666666666667	0.173074718333333	0.35579833	0.599741833333333
EFP02	9	5	-0.911393	-0.908245788953585	0.719166666666667	0.0312871728813559	0.24466735	0.661122166666667
EFP02	10	1	0.607283	0.567915073051638	0.326666666666667	-0.000276368333333333	-0.1107534	0.382082333333333
EFP02	10	2	-1.384287	-1.29075055954838	0.7225	-0.107874614666667	0.1773581	0.661438333333333
EFP02	10	3	0.264078	0.151094977084312	0.444166666666667	0.133535196666667	0.0895521	0.385592833333333
EFP02	10	4	-1.347842	-1.13111123029214	0.730833333333333	0.110400528333333	0.4524039	0.681053833333333
EFP02	10	5	-0.272644	-0.0201884171459819	0.514166666666667	0.238049850847458	0.24428565	0.480087
EFP03	1	1	-0.105259	-0.195426577752921	0.5425	-0.0882503733333333	-0.0491764	0.5142065
EFP03	1	2	-1.124905	-0.904719079822532	0.714166666666667	0.0508541559833333	0.217599025	0.689833666666667
EFP03	1	3	-0.999434	-0.916750638356612	0.685	0.0536218966666667	0.2734557	0.606969166666667
EFP03	1	4	-0.437416	-0.670547412362423	0.5825	0.013902337	0.139257775	0.5592685
EFP03	1	5	0.076683	0.0051969094238688	0.4925	0.0293257447457627	0.02841745	0.486667166666667
EFP03	2	1	-0.663486	-0.68315467348299	0.664166666666667	-0.513622	-0.3794663	0.600056833333333
EFP03	2	2	-0.620221	-0.590535260595561	0.679166666666667	-0.448884916666667	-0.318579	0.630830166666667
EFP03	2	3	-1.168053	-1.06952227327952	0.7575	-0.488328	-0.2524647	0.6830365
EFP03	2	4	0.007485	0.00877219048105248	0.484166666666667	-0.5708372	-0.5729075	0.465629833333333
EFP03	2	5	-0.470168	-0.434727051284868	0.623333333333333	-0.523105745762712	-0.42187685	0.58584
EFP03	3	1	0.039089	0.104937712928408	0.521666666666667	-0.15893926	-0.1891689	0.494832333333333
EFP03	3	2	0.111204	0.185323926084164	0.436666666666667	0.04326649	0.00721909999999999	0.484816
EFP03	3	3	0.720975	0.62595917789059	0.33	0.132841358333333	-0.03514552	0.374123833333333
EFP03	3	4	0.848936	0.721242248286795	0.309166666666667	0.215269816666667	0.05170615	0.341528666666667
EFP03	3	5	0.520627	0.558199286905356	0.225833333333333	0.201693862711864	0.0348882615	0.306357166666667
EFP03	4	1	0.259551	0.0579700557846684	0.509166666666667	-0.149895563333333	-0.16577545	0.454753333333333
EFP03	4	2	0.417012	0.519555037584157	0.349166666666667	-0.0770482066666667	-0.20217985	0.4194165
EFP03	4	3	0.302721	0.241061558496859	0.427916666666667	-0.00750686050000001	-0.0781857	0.439962166666667
EFP03	4	4	1.004868	0.91616999198094	0.251666666666667	0.01568618	-0.230256631	0.318911833333333
EFP03	4	5	0.609872	0.779073244155431	0.34	-0.131343618644068	-0.37409365	0.406806833333333
EFP03	5	1	0.190176	0.125191638977987	0.470833333333333	-0.120740597333333	-0.15375045	0.457422666666667
EFP03	5	2	0.346394	0.386960775083609	0.388333333333333	-0.0615736233333333	-0.18511034	0.424509166666667
EFP03	5	3	-0.17481	-0.110384191797399	0.5125	-0.196254713333333	-0.17149191	0.526961666666667
EFP03	5	4	-0.906563	-0.776497180682883	0.715833333333333	-0.275775616666667	-0.00205680999999999	0.701983666666667
EFP03	5	5	0.274204	0.00250828784965883	0.474166666666667	-0.126156183559322	-0.1266899	0.4514555
EFP03	6	1	2.361855	1.89586772910874	0.06	0.5994703	0.13579572	0.116752
EFP03	6	2	2.323033	2.00422085184479	0.0775	0.517027731666667	0.103670945	0.151133333333333
EFP03	6	3	0.73555	0.704103501572446	0.2975	0.3848807	0.234712795	0.347389333333333
EFP03	6	4	0.312332	0.273828103425181	0.4	0.269024328333333	0.180199075	0.411677666666667
EFP03	6	5	1.026795	0.926631076654323	0.215	0.214221413559322	0.00390439999999999	0.279274333333333
EFP03	7	1	0.169217	0.0156362981612359	0.511666666666667	0.0264988333333333	0.0220316	0.471689166666667
EFP03	7	2	-1.060619	-0.958352327130555	0.766666666666667	-0.36941929	0.02347232	0.727916166666667
EFP03	7	3	-1.257334	-1.22681075238905	0.855833333333333	-0.31383965	0.27185515	0.779934333333334
EFP03	7	4	0.243373	0.524776147246068	0.381666666666667	-0.101431283333333	-0.28213948	0.410568333333333
EFP03	7	5	0.227284	0.271883418159057	0.424166666666667	-0.048577606779661	-0.1241385	0.454057833333333
EFP03	8	1	1.145979	1.16865458298512	0.165	0.466405983333333	0.19262825	0.238014333333333
EFP03	8	2	0.054518	0.0589530433512674	0.476666666666667	0.359950383333333	0.3418288	0.486629333333333
EFP03	8	3	0.291823	0.230159255973838	0.396666666666667	0.365657666666667	0.2984916	0.406176333333333
EFP03	8	4	-0.607644	-0.445760597887628	0.64	0.299022416666667	0.4132366	0.6344655
EFP03	8	5	0.402397	0.408140147120809	0.385	0.293489881355932	0.156202185	0.415951
EFP04	1	1	0.478433	0.402741366161612	0.418333333333333	0.111851595	0.039379838	0.438540166666667
EFP04	1	2	0.005202	0.0877865942750352	0.456666666666667	-0.0273761766666667	-0.04938095	0.4996105
EFP04	1	3	0.189024	0.243266510090666	0.454166666666667	-0.0405141466666667	-0.0854157795	0.465183166666667
EFP04	1	4	-0.233297	-0.27360853185111	0.519166666666667	-0.11777408	-0.00812989999999999	0.520061666666667
EFP04	1	5	-1.066828	-1.10730877197802	0.788333333333333	-0.259180393220339	0.094761605	0.727007666666667
EFP04	2	1	0.547003	0.662144333208127	0.375833333333333	0.0874724583333333	-0.049901095	0.422772833333333
EFP04	2	2	0.208493	0.029958585248591	0.4325	-0.0782980433333333	-0.0908001	0.4607985
EFP04	2	3	-0.450509	-0.490941697812466	0.594166666666667	-0.224891649666667	-0.0577545	0.5680905
EFP04	2	4	-0.413611	-0.310573100739574	0.554166666666667	-0.265094178333333	-0.1852717	0.570255833333333
EFP04	2	5	-0.221816	-0.149176669486106	0.505833333333333	-0.343122488135593	-0.29603097	0.538029
EFP04	3	1	-0.225714	-0.113282974772174	0.495833333333333	-0.198515883333333	-0.15185145	0.532761
EFP04	3	2	1.120326	0.990380609442694	0.234166666666667	-0.00526941666666667	-0.2540762	0.304520166666667
EFP04	3	3	0.963722	0.696667473830064	0.3075	-0.108614588333333	-0.286870675	0.312901833333333
EFP04	3	4	-0.798707	-0.74007838086521	0.715833333333333	-0.0292115866666667	0.1941761	0.647512166666667
EFP04	3	5	-1.144486	-0.970861763399884	0.761666666666667	-0.417225218644068	-0.06237435	0.732159333333333
EFP04	4	1	0.380903	0.311437663289554	0.399166666666667	-0.0154933166666667	-0.1115909	0.444586
EFP04	4	2	-0.793194	-0.723847837976049	0.743333333333333	-0.152185505	0.093960675	0.694706
EFP04	4	3	0.372553	0.249771939369306	0.360833333333333	-0.149389216666667	-0.23566285	0.3820545
EFP04	4	4	1.053741	1.08592789549782	0.2125	0.009771615	-0.2673883	0.300022166666667
EFP04	4	5	1.018025	0.945119353562087	0.195	0.0194402949152542	-0.282107815	0.358292
EFP04	5	1	-0.490414	-0.288035053135549	0.588333333333333	-0.314662483333333	-0.24112925	0.5695345
EFP04	5	2	-0.749054	-0.762778345012934	0.71	-0.354580523333333	-0.15404265	0.652573166666667
EFP04	5	3	-0.964504	-0.870785618251895	0.760833333333333	-0.47831	-0.27052375	0.654361166666667
EFP04	5	4	-0.46398	-0.400169308645096	0.610833333333333	-0.402720998333333	-0.2549225875	0.581305166666667
EFP04	5	5	0.287846	0.207557077024425	0.418333333333333	-0.313435908305085	-0.3979556	0.436913666666667
EFP04	6	1	-0.321627	-0.322844669007231	0.55	-0.319125841666667	-0.19469	0.546019333333333
EFP04	6	2	-0.038644	0.0373049196465371	0.465833333333333	-0.0939083716666667	-0.10248455	0.503375166666667
EFP04	6	3	-1.234432	-1.04975911706522	0.775	-0.282072033333333	0.03162945	0.7093885
EFP04	6	4	0.503392	0.294790365673584	0.421666666666667	-0.07819647	-0.1397671	0.362550833333333
EFP04	6	5	0.100865	0.0541356132099053	0.440833333333333	-0.0349199727118644	-0.04592975	0.481861666666667
EFP04	7	1	1.866218	1.65559361375854	0.205833333333333	-0.0349359816666667	-0.7241243	0.295037333333333
EFP04	7	2	-0.401536	-0.368517254190231	0.555	-0.0532479346666667	0.0285363	0.557704833333333
EFP04	7	3	0.501052	0.327887096702239	0.495833333333333	-0.147903033333333	-0.25418109	0.440804333333333
EFP04	7	4	2.08791	1.50846914074329	0.1725	-0.101488768333333	-0.519109	0.232445666666667
EFP04	7	5	-1.19648	-1.05004070118472	0.795	-0.32225406779661	0.2369565	0.762879
EFP04	8	1	0.091778	-0.0331865417562717	0.55	-0.351068513333333	-0.3348118	0.485916166666667
EFP04	8	2	0.678459	0.559566674893996	0.36	-0.291820458333333	-0.529935305	0.389053333333333
EFP04	8	3	-0.292623	-0.234558940032415	0.555833333333333	-0.289109726666667	-0.1949334	0.557471
EFP04	8	4	0.250884	0.259117239740311	0.3875	-0.507797441666667	-0.6426025	0.446406833333333
EFP04	8	5	-0.859834	-0.879203627461823	0.749166666666667	-0.399387386440678	-0.004770055	0.6881545
EFP04	9	1	-0.382981	-0.336493830163494	0.6225	-0.0367295366666667	0.073668775	0.5973625
EFP04	9	2	0.257267	0.164671222553028	0.421666666666667	-0.0208780976666667	-0.06714345	0.433225666666667
EFP04	9	3	0.549967	0.308940732309717	0.416666666666667	0.107329671666667	0.015907185	0.3956755
EFP04	9	4	0.599454	0.539261246577601	0.356666666666667	0.0775683966666667	-0.101690645	0.395871833333333
EFP04	9	5	1.082527	1.03970026598695	0.196666666666667	0.096511293220339	-0.2062703	0.275430333333333
EFP05	1	1	0.562792	0.582439464053573	0.3475	-0.067450865	-0.15845785	0.3982515
EFP05	1	2	-0.274688	-0.29743358075069	0.558333333333333	-0.0358197466666667	0.022360905	0.546593166666667
EFP05	1	3	-0.853273	-1.02624459313177	0.68	0.00838391	0.3409946	0.604434166666667
EFP05	1	4	0.187234	0.18689108642431	0.455	-0.131853851666667	-0.17720892	0.472056666666667
EFP05	1	5	0.552374	0.546392815732161	0.36	-0.161791350847458	-0.26221005	0.423287833333333
EFP05	2	1	-0.887165	-0.867500312373074	0.763333333333333	-0.0791039083333333	0.15938205	0.690104166666667
EFP05	2	2	-1.669699	-1.44206413738198	0.86	-0.206299826666667	0.06160475	0.785680333333333
EFP05	2	3	-1.285083	-1.32178701246003	0.824166666666667	-0.195498976666667	0.09868155	0.573406666666667
EFP05	2	4	-0.408678	-0.445056930986526	0.641666666666667	-0.179761741666667	-0.103966655	0.534073166666667
EFP05	2	5	-1.202672	-0.938673732866805	0.6925	-0.197155538983051	-0.00490905	0.673711
EFP05	3	1	-0.578972	-0.466847350291382	0.628333333333333	-0.0201003433333333	0.07565855	0.620241
EFP05	3	2	-0.094012	-0.101789945887512	0.485833333333333	0.0668962775	0.0886091	0.515573333333333
EFP05	3	3	-0.584934	-0.677306750252708	0.710833333333333	-0.0201763416666667	0.169945	0.607191666666667
EFP05	3	4	-0.064188	-0.175047259028358	0.566666666666667	-0.080889465	-0.02724352	0.511027833333333
EFP05	3	5	-0.721406	-0.806756610739236	0.685833333333333	-0.0518365254237288	0.1542155	0.6343015
EFP05	4	1	-0.266052	-0.213975434060889	0.555	0.0621318866666667	0.114081825	0.560720166666667
EFP05	4	2	-0.390347	-0.397087330683397	0.628333333333333	0.125612011666667	0.26014345	0.588563333333333
EFP05	4	3	-0.417426	-0.44370884366468	0.605833333333333	0.0491015316666667	0.16352305	0.580255166666667
EFP05	4	4	-0.03912	-0.138655208166334	0.525	0.05470867	0.08252262	0.501327666666667
EFP05	4	5	0.957554	0.964817829001378	0.24	0.382566281355932	0.178834345	0.312171333333333
EFP05	5	1	0.743386	0.663071672502615	0.311666666666667	-0.173632975	-0.3744749	0.348356333333333
EFP05	5	2	0.075453	0.12226040058041	0.480833333333333	-0.0235547133333333	-0.059258525	0.494158333333333
EFP05	5	3	0.820994	0.796678489545183	0.259166666666667	0.11060817	-0.22938985	0.349874833333333
EFP05	5	4	0.993395	0.86165733011699	0.264166666666667	0.09949452	-0.28605435	0.305872333333333
EFP05	5	5	0.600827	0.648434618140585	0.298333333333333	0.0423759169491525	-0.219494	0.382684833333333
EFP05	6	1	0.759789	0.705943564501905	0.295	0.398845516666667	0.1245811	0.339660833333333
EFP05	6	2	1.732147	1.68627830101243	0.0966666666666667	0.341614978333333	-0.26633116	0.190465333333333
EFP05	6	3	1.614898	1.6115354130455	0.0925	0.5121557	-0.01396892	0.2024535
EFP05	6	4	1.642659	1.78615647026139	0.0983333333333333	0.591143083333333	-0.01123316	0.220265
EFP05	6	5	1.659215	1.74445133715992	0.0908333333333333	0.618140101694915	-0.0375552	0.2100885
EFP05	7	1	1.76895	1.81000330875952	0.0675	0.603433116666667	0.202289	0.1780355
EFP05	7	2	1.268162	1.3404822480953	0.123333333333333	0.52684705	0.25185895	0.219165333333333
EFP05	7	3	1.318928	1.38166761717054	0.155833333333333	0.717269183333333	0.37137615	0.2627345
EFP05	7	4	1.339195	1.38519990772731	0.165	0.802027666666667	0.48018235	0.268414666666667
EFP05	7	5	1.534032	1.46020573103197	0.125833333333333	0.786487457627119	0.472346	0.213934
EFP05	8	1	1.593502	1.43627224161874	0.165	0.441827383333333	0.08334815	0.251763833333333
EFP05	8	2	1.784456	1.82622982070173	0.0516666666666667	0.51994294	0.051166165	0.169022666666667
EFP05	8	3	1.857153	1.8785983813852	0.0833333333333333	0.616669133333333	0.11720105	0.186553833333333
EFP05	8	4	1.917846	1.79197719876731	0.0858333333333333	0.41832035	-0.019000441	0.1604065
EFP05	8	5	2.127306	2.13841162343197	0.0483333333333333	0.749580220338983	0.1703908	0.165130833333333
EFP05	9	1	0.779004	0.773666126846872	0.260833333333333	0.114963148333333	-0.16828085	0.318556833333333
EFP05	9	2	1.034861	1.07496896117137	0.198333333333333	0.170480775	-0.183305	0.297380666666667
EFP05	9	3	1.332907	1.3256946284484	0.165833333333333	0.086065005	-0.17379385	0.267311166666667
EFP05	9	4	0.403268	0.551324557831928	0.344166666666667	0.254180433333333	0.05445538	0.418405
EFP05	9	5	1.662822	1.70648941571614	0.1725	0.178990559322034	-0.41636245	0.239380666666667
EFP05	10	1	1.138293	1.16743594319665	0.180833333333333	0.540384033333333	0.0692074	0.272604166666667
EFP05	10	2	1.127769	1.11757610934207	0.200833333333333	0.629937316666667	0.17452439	0.265147833333333
EFP05	10	3	1.412208	1.42720345717701	0.149166666666667	0.70185055	0.03577791	0.218397666666667
EFP05	10	4	2.017517	2.01989213515656	0.0583333333333333	0.9074145	0.23796695	0.1624545
EFP05	10	5	2.572179	2.56525992096088	0.0283333333333333	0.930143762711864	0.0678973	0.1303695
EFP06	1	1	-1.982064	-1.96016561019008	0.935	-0.344680216666667	-0.09121791	0.821105333333333
EFP06	1	2	-1.113525	-1.11380826466413	0.789166666666667	-0.352000416666667	-0.175451875	0.516347
